split,world_file,seed,difficulty,random_obstacle_count,boundary_wall_count,total_box_count,direct_path_blocked,astar_path_length_m,start_x,start_y,start_yaw,goal_x,goal_y,scenario,straight_distance_m,path_stretch_ratio,structured_blocker_count,source_dataset,source_split,source_repetition,training_weight,comparison_source
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_medium_clear_seed_300139.yaml,300139,medium,6,4,10,False,5.8959,-0.478914,2.985183,-1.159851,1.269001,-2.180023,clear,5.4529,1.0812,0,v4,train,0,0.45,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100120.yaml,1100120,easy,16,4,20,True,5.5759,1.219453,-3.94355,1.429293,1.270403,0.652339,double_block,4.5962,1.2132,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100116.yaml,1100116,hard,18,4,22,True,7.6067,-0.291575,0.949211,-0.537689,3.839475,-1.444628,double_block,4.7745,1.5932,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_direct_block_seed_1100186.yaml,1100186,easy,16,4,20,True,5.6422,2.37215,3.535432,-1.790223,1.616813,-1.290869,direct_block,4.8851,1.155,1,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100041.yaml,1100041,hard,19,4,23,True,9.3222,2.812372,-3.71737,2.506771,-2.968305,0.024599,double_block,6.8861,1.3538,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v3_curriculum/train/world_hard_direct_block_seed_000008.yaml,8,hard,4,4,8,True,5.8433,-3.086834,2.645744,-0.919935,0.054063,-0.843963,direct_block,4.695,1.2446,,v3,train,general_replay,0.15,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_clear_seed_1100175.yaml,1100175,medium,16,4,20,False,5.5176,-2.896438,0.519516,0.121454,2.192693,1.456823,clear,5.1747,1.0663,0,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_medium_seed_000004.yaml,4,medium,6,4,10,True,7.5518,1.924587,-0.183758,0.310401,-3.566128,-4.177591,,,,,v2,train,0,0.40,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_easy_double_block_seed_300204.yaml,300204,easy,4,4,8,True,7.9622,-2.536866,-3.735207,1.630346,-3.803205,3.361228,double_block,7.2085,1.1045,2,v4,train,0,0.45,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000060.yaml,60,easy,3,4,7,True,6.8729,-3.00901,-2.352035,2.986363,-0.143489,3.351789,,,,,v2,train,general_replay,0.40,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_clear_seed_1100155.yaml,1100155,hard,18,4,22,False,4.9657,-0.397522,2.469264,-1.430654,0.042427,-2.325403,clear,4.8148,1.0313,0,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000255.yaml,255,easy,2,4,6,False,3.2422,1.184621,0.738517,1.583047,3.667237,-1.110971,,,,,v2,train,0,0.40,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_direct_block_seed_1100058.yaml,1100058,medium,17,4,21,True,10.2135,-3.92881,4.060573,-0.47063,3.571855,0.257207,direct_block,8.4098,1.2145,1,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100153.yaml,1100153,easy,16,4,20,True,10.2774,-2.596814,-0.524043,0.714074,4.165975,3.886387,double_block,8.0739,1.2729,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_direct_block_seed_1100026.yaml,1100026,hard,19,4,23,True,10.2684,3.882281,-1.751413,-3.093346,-2.826042,-2.469786,direct_block,6.7467,1.522,1,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_direct_block_seed_1100146.yaml,1100146,hard,20,4,24,True,10.0067,-2.733375,2.249048,-0.727422,3.797705,-2.768833,direct_block,8.2361,1.215,1,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_hard_seed_000251.yaml,251,hard,11,4,15,True,4.9051,2.036276,0.754467,-2.55532,-2.201248,1.831626,,,,,v2,train,general_replay,0.40,original
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_hard_seed_000119.yaml,119,hard,10,4,14,True,8.2102,-0.585471,-3.660112,3.08228,-0.625691,4.03592,,,,,v2,train,0,0.40,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100044.yaml,1100044,hard,20,4,24,True,6.4776,0.009877,-1.161884,2.029618,-2.681295,3.170249,double_block,5.1,1.2701,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000006.yaml,6,easy,4,4,8,False,5.6649,-0.130199,-2.073893,-0.186898,-4.34607,1.416521,,,,,v2,train,0,0.40,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_direct_block_seed_1100230.yaml,1100230,hard,20,4,24,True,10.089,3.211657,1.143969,-2.747168,-4.212706,-2.554789,direct_block,8.2947,1.2163,1,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_clear_seed_1100087.yaml,1100087,easy,15,4,19,False,4.8867,3.845776,-3.159586,2.49315,0.092455,-0.410689,clear,4.6523,1.0504,0,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100020.yaml,1100020,hard,19,4,23,True,8.0867,-3.714313,-1.607582,-0.154692,2.657459,-2.837499,double_block,6.4894,1.2461,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_double_block_seed_1100037.yaml,1100037,medium,18,4,22,True,7.8467,-0.640977,1.297093,-1.705891,-1.572466,-3.701802,double_block,5.0849,1.5431,2,,,,,dense_v10
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100000.yaml,1100000,easy,15,4,19,True,10.9141,3.127941,-2.968147,1.720571,3.01706,3.851639,double_block,6.8207,1.6001,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_hard_seed_000161.yaml,161,hard,12,4,16,True,8.2604,-2.888182,3.727905,-2.926443,3.899794,0.784377,,,,,v2,train,0,0.40,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_double_block_seed_1100165.yaml,1100165,easy,15,4,19,True,9.5986,3.962778,-2.020301,2.568208,-3.28891,2.21368,double_block,8.3972,1.1431,2,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_medium_direct_block_seed_300190.yaml,300190,medium,7,4,11,True,5.3278,2.278976,-0.94117,-2.8409,-2.096545,-2.031787,direct_block,4.5094,1.1815,1,v4,train,0,0.45,original
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_direct_block_seed_1100150.yaml,1100150,easy,15,4,19,True,5.5565,-1.671531,1.178424,-1.724641,-2.903727,-3.473721,direct_block,4.8126,1.1546,1,,,,,dense_v10
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000297.yaml,297,easy,4,4,8,False,4.801,4.31973,-0.846214,-2.538892,1.926515,2.989673,,,,,v2,train,general_replay,0.40,original
