split,world_file,seed,difficulty,scenario,structured_blocker_count,random_obstacle_count,boundary_wall_count,total_box_count,direct_path_blocked,straight_distance_m,astar_path_length_m,path_stretch_ratio,start_x,start_y,start_yaw,goal_x,goal_y,curriculum_origin
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_easy_clear_seed_300231.yaml,300231,easy,clear,0,4,4,8,False,6.9214,7.2308,1.0447,1.624134,-3.754524,1.778261,0.602938,3.09116,original_hard
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100068.yaml,1100068,hard,double_block,2,19,4,23,True,5.0267,7.7359,1.539,2.57368,-2.497447,-2.992917,-2.428045,-2.998098,dense_regular
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_easy_clear_seed_1100219.yaml,1100219,easy,clear,0,15,4,19,False,4.5117,4.6651,1.034,1.594635,-2.755777,-2.94355,-2.873189,-3.38364,dense_regular
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_easy_direct_block_seed_300294.yaml,300294,easy,direct_block,1,4,4,8,True,7.0611,8.1061,1.148,-3.753598,-2.705033,0.653452,1.597701,1.901759,original_hard
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_easy_double_block_seed_300072.yaml,300072,easy,double_block,2,5,4,9,True,7.7365,8.641,1.1169,3.638407,4.015117,-2.710385,-3.613288,1.319472,original_hard
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_medium_double_block_seed_1100013.yaml,1100013,medium,double_block,2,18,4,22,True,4.5322,5.8457,1.2898,3.855244,1.47571,2.856687,-0.429182,2.9536,dense_failed
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_hard_direct_block_seed_300446.yaml,300446,hard,direct_block,1,13,4,17,True,7.6792,9.0135,1.1738,-4.007741,-0.436226,0.599462,2.580806,3.50856,original_hard
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_medium_double_block_seed_300316.yaml,300316,medium,double_block,2,9,4,13,True,6.9491,8.1084,1.1668,3.8198,2.613157,-2.126968,0.642127,-3.566803,original_hard
train,/root/leo_ws/results/comparison_benchmarks/benchmark_v10_dense_001/train/world_hard_double_block_seed_1100041.yaml,1100041,hard,double_block,2,19,4,23,True,6.8861,9.3222,1.3538,2.812372,-3.71737,2.506771,-2.968305,0.024599,dense_regular
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_hard_double_block_seed_300005.yaml,300005,hard,double_block,2,10,4,14,True,5.4953,7.281,1.325,0.372493,-4.108539,2.274237,-2.809325,0.371876,original_hard
