split,world_file,seed,difficulty,random_obstacle_count,boundary_wall_count,total_box_count,direct_path_blocked,astar_path_length_m,start_x,start_y,start_yaw,goal_x,goal_y,scenario,straight_distance_m,path_stretch_ratio,structured_blocker_count,source_dataset,source_split,source_repetition,training_weight
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_easy_direct_block_seed_300306.yaml,300306,easy,3,4,7,True,9.0306,-4.088384,1.408548,-0.796558,1.733037,-4.030475,direct_block,7.9669,1.1335,1,v4,train,0,0.45
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_medium_seed_000121.yaml,121,medium,5,4,9,True,6.7096,3.248229,1.09372,-2.027613,-2.814889,2.601902,,,,,v2,train,general_replay,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_easy_double_block_seed_300444.yaml,300444,easy,5,4,9,True,6.8753,4.227507,-3.066449,1.957801,1.666259,2.399623,double_block,6.0364,1.139,2,v4,train,0,0.45
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_hard_double_block_seed_300092.yaml,300092,hard,11,4,15,True,10.0341,2.405601,4.167901,-1.60232,1.932252,-0.342622,double_block,4.5353,2.2125,2,v4,train,0,0.45
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_medium_seed_000169.yaml,169,medium,7,4,11,True,4.9027,-2.82644,0.09207,2.079083,0.269337,2.879806,,,,,v2,train,0,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_hard_seed_000083.yaml,83,hard,11,4,15,True,8.7243,-0.348696,-3.235424,-1.808217,-4.050725,3.933775,,,,,v2,train,general_replay,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v3_curriculum/train/world_hard_direct_block_seed_000077.yaml,77,hard,5,4,9,True,5.2284,-1.479798,-2.205805,-0.251529,2.741725,-3.271968,direct_block,4.3541,1.2008,,v3,train,general_replay,0.15
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_hard_seed_000248.yaml,248,hard,11,4,15,True,5.2559,-1.52567,3.028448,-2.599285,1.655972,-0.064977,,,,,v2,train,0,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000111.yaml,111,easy,2,4,6,False,5.7245,-1.601022,-2.660383,0.815127,-0.722349,2.711521,,,,,v2,train,0,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000093.yaml,93,easy,3,4,7,True,9.0614,1.93971,3.333268,-0.682229,-3.551264,-3.063959,,,,,v2,train,general_replay,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000063.yaml,63,easy,3,4,7,False,7.85,3.843513,-3.236648,-2.951956,-2.307015,0.862308,,,,,v2,train,0,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_hard_direct_block_seed_300182.yaml,300182,hard,10,4,14,True,5.6502,1.477945,2.469756,-2.186706,-1.312292,-1.12887,direct_block,4.5536,1.2408,1,v4_focused,train,0,focused_failure
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000135.yaml,135,easy,4,4,8,False,5.0192,1.246691,-1.945926,-0.298449,-1.792797,1.790561,,,,,v2,train,0,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_medium_direct_block_seed_300130.yaml,300130,medium,6,4,10,True,6.4914,-1.606356,-2.476793,1.814494,-2.716446,3.195543,direct_block,5.7799,1.1231,1,v4_focused,train,4,focused_failure
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_medium_seed_000202.yaml,202,medium,8,4,12,False,7.681,-0.787889,-2.626639,-0.453978,1.537293,4.082787,,,,,v2,train,general_replay,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_hard_seed_000290.yaml,290,hard,12,4,16,True,8.4682,3.308799,0.81005,-0.054771,-3.196309,-3.989218,,,,,v2,train,0,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_hard_double_block_seed_300068.yaml,300068,hard,14,4,18,True,8.0284,-0.219232,-3.842323,1.253962,1.822653,1.701971,double_block,5.9083,1.3588,2,v4_focused,train,2,focused_failure
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_medium_seed_000037.yaml,37,medium,5,4,9,False,6.2594,1.439266,2.147214,3.039356,1.169516,-4.041655,,,,,v2,train,general_replay,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_hard_double_block_seed_300065.yaml,300065,hard,14,4,18,True,8.3096,-3.589928,-2.524051,0.652105,1.813146,1.323968,double_block,6.6333,1.2527,2,v4_focused,train,4,focused_failure
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v3_curriculum/train/world_hard_direct_block_seed_000182.yaml,182,hard,5,4,9,True,6.3953,-1.245213,-2.265831,1.548104,-1.532811,3.359819,direct_block,5.633,1.1353,,v3,train,general_replay,0.15
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v3_curriculum/train/world_easy_direct_block_seed_000276.yaml,276,easy,2,4,6,True,6.7233,-3.656414,3.738366,-0.259653,2.514103,2.358956,direct_block,6.3228,1.0633,,v3,train,general_replay,0.15
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v3_curriculum/train/world_hard_direct_block_seed_000026.yaml,26,hard,6,4,10,True,5.1953,3.457224,1.355642,-2.967715,-0.574108,0.374122,direct_block,4.1491,1.2521,,v3,train,general_replay,0.15
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_hard_double_block_seed_300197.yaml,300197,hard,14,4,18,True,9.4135,-4.081192,-1.123609,0.319067,3.432856,1.620687,double_block,7.9995,1.1768,2,v4_focused,train,0,focused_failure
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_hard_double_block_seed_300353.yaml,300353,hard,10,4,14,True,9.209,3.894108,0.343303,2.790481,-2.928447,3.442522,double_block,7.4935,1.2289,2,v4,train,0,0.45
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_medium_double_block_seed_300433.yaml,300433,medium,7,4,11,True,6.7759,1.904947,3.565704,-3.047219,-3.812288,3.413571,double_block,5.7193,1.1847,2,v4_focused,train,3,focused_failure
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v3_curriculum/train/world_medium_direct_block_seed_000073.yaml,73,medium,3,4,7,True,4.5553,-3.624108,-0.813748,0.025376,0.004302,-0.417467,direct_block,3.65,1.248,,v3,train,general_replay,0.15
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_hard_seed_000230.yaml,230,hard,9,4,13,True,4.9027,3.821227,3.351985,1.670746,0.322116,1.387379,,,,,v2,train,0,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_medium_direct_block_seed_300418.yaml,300418,medium,6,4,10,True,7.9872,2.75741,0.909325,2.777238,-3.570878,3.743192,direct_block,6.9338,1.1519,1,v4_focused,train,0,focused_failure
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_hard_double_block_seed_300008.yaml,300008,hard,12,4,16,True,7.0651,1.457265,-1.605115,1.302586,3.044504,3.857637,double_block,5.6887,1.242,2,v4_focused,train,1,focused_failure
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_medium_double_block_seed_300421.yaml,300421,medium,8,4,12,True,7.3553,-2.424302,3.314838,-0.149507,4.01391,3.084346,double_block,6.4423,1.1417,2,v4,train,0,0.45
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_easy_seed_000234.yaml,234,easy,3,4,7,True,3.5839,-3.849124,0.69997,2.32611,-0.772041,1.820999,,,,,v2,train,0,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v3_curriculum/train/world_hard_direct_block_seed_000074.yaml,74,hard,6,4,10,True,4.8994,0.129879,-3.284308,2.747167,-3.224772,-1.62247,direct_block,3.7437,1.3087,,v3,train,0,0.15
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_easy_direct_block_seed_300090.yaml,300090,easy,5,4,9,True,7.5792,1.28131,-2.969247,1.894264,-1.753112,3.332519,direct_block,6.9943,1.0836,1,v4,train,0,0.45
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v3_curriculum/train/world_hard_clear_seed_000299.yaml,299,hard,5,4,9,False,5.6753,-2.027008,-0.551654,-0.309762,2.816434,-2.465314,clear,5.2078,1.0898,,v3,train,0,0.15
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_hard_seed_000047.yaml,47,hard,10,4,14,True,3.9645,0.466669,0.615878,0.726093,-2.110377,-0.986954,,,,,v2,train,general_replay,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v2/train/world_medium_seed_000151.yaml,151,medium,8,4,12,True,7.7861,3.921835,1.155262,2.626404,-2.569891,4.117918,,,,,v2,train,0,0.40
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v3_curriculum/train/world_easy_direct_block_seed_000084.yaml,84,easy,2,4,6,True,6.3016,-2.028738,-0.277276,0.407185,3.323512,1.917797,direct_block,5.7849,1.0893,,v3,train,0,0.15
train,/root/leo_ws/src/leo_pybullet/worlds/benchmark_v4_hard/train/world_hard_clear_seed_300143.yaml,300143,hard,10,4,14,False,7.0708,0.569338,-3.886403,1.455722,1.610029,2.735342,clear,6.703,1.0549,0,v4,train,0,0.45
